artist_name,artist_id,track_name,track_id,track_popularity,artist_followers,artist_popularity,artist_genres
STAYC,01XYiBYaoMJcNhPokrg0l0,Poppy (Korean Ver.),7KqISJoXbapng18bmmG0oa,46,1611711,61,"['k-pop', 'k-pop girl group']"
tripleS,5Z71xE9prhpHrqL5thVMyK,Oui,3LAtZiyrPu2QJFbipsDRWH,45,285350,54,['k-pop girl group']
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,ジュエリー (Prod. imase),27Ktms54Maeges2VYdsnec,49,3614292,76,['k-pop girl group']
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,24H,5jXlUt3NS0iu7pHYPqpK2O,50,10621758,78,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Identical Days,4hrptHq1WUVnUIsZpyt3YE,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Raja Pandharicha,6F8fI2NGLRvyJBH55RFIzR,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,"Om Hai Jeevan Humara (From ""Arya Satsang"")",0ssMLAnlkvdZLizNjIaBYN,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Nachu Gavu Vithu Nave,5AhfS3dXXmzxxpqmGpPkVA,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,"Shriman Narayan (Traditional Dhun) [From ""Shriman Narayan (Traditional Dhun)""]",5Ow8g1arXfSprP3MJDn4uJ,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
I.M,49tkHHS0mXwa5eLYvyvKyd,Habit,1RQqbSlookHZBgm5Cf3Sg4,46,364053,43,['k-pop']
Emarosa,68tKVjVvcqUfKFFLr2j0Ek,Woman,3rGAu4qRYLgF0hrxyLq7oe,40,273295,47,"['lexington ky indie', 'neon pop punk', 'pop emo', 'pop punk', 'progressive post-hardcore', 'screamo']"
Lyn,1A6WCseWiK22oxqodg7vcy,I'll Always Be With You,0qXAC2U4E9XjF0FeGRsMh7,53,260843,48,['korean pop']
Stray Kids,2dIgFjalVxs4ThymZ67YCE,CASE 143 -Japanese ver.-,24c1YnlFKxrAPINd69UlLd,52,13545818,82,"['k-pop', 'k-pop boy group', 'pop']"
OMEGA X,2FJYWlqgtoiBtXpOy9GGIF,Touch,3DcQsEslVSMW4qFDzFAd7l,44,213081,43,['k-pop']
Weeekly,73B9bjqS2Z5KLXNGqXf64m,ODYSSEY,7hf0gThVJS19J6ZOITDCDp,44,576825,51,['k-pop']
fromis_9,24nUVBIlCGi4twz4nYxJum,Bring It On,2a1qLwJOAc2uYTrcs0cLhQ,42,1180701,56,"['k-pop', 'k-pop girl group']"
Emarosa,68tKVjVvcqUfKFFLr2j0Ek,Cinnamon,1gRWoklE6IT3eVP7mSlFwd,39,273295,47,"['lexington ky indie', 'neon pop punk', 'pop emo', 'pop punk', 'progressive post-hardcore', 'screamo']"
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Beatbox - English Version,6q7sF4ctWUSf76T6VJ6Bu9,53,7391266,70,['k-pop boy group']
Whee In,0BqRGrwqndrtNkojXiqIzL,Here I Am,7I9PFafS70EQLp2WirTgFj,48,914347,52,"['k-pop', 'korean ost']"
HENRY,1sjw4xq2pAWy5Vdgba5QAt,Real Love Still Exists,0lJxsFybSunQWH4MQNIyCo,48,510642,53,['k-pop']
george,2pRZp2WxvnWWiSPcSSYkNV,ANYWHERE ANYTIME,67sYclP23NAkhQwYciJd16,47,111551,47,['korean city pop']
Xenia Manasseh,2J4IvVbi2h1wB2A0p5kd86,I Lay (feat. Xenia Manasseh),3OfnodXWoUyR7bgKckTe5p,46,24212,41,"['afro r&b', 'kenyan pop', 'kenyan r&b']"
MAMAMOO+,2uGx10VkBrI3GBvnQl81du,dangdang,4wp725MlpbUiyn1NcTMHJ6,48,122783,41,['k-pop girl group']
tripleS,5Z71xE9prhpHrqL5thVMyK,New Look,79mHno2xjCr4Br0KvRPcdb,46,285350,54,['k-pop girl group']
KEY,6XXKPxRX2WWPPtfodzpc2v,Intoxicating,58FJAeW57iNe6K34hcOAu8,45,634344,52,['k-pop']
Yll Limani,2qI59HaiEtvev8vnUkmRpT,Per kon je zbukuru,3dETUH3KaqOo8Hgyne8LkR,56,184963,54,"['albanian pop', 'kosovan pop']"
MONSTA X,4TnGh5PKbSjpYqpIdlW5nz,Deny,7Kg8zkls7jEP5H89mCG1vz,44,5233866,59,"['k-pop', 'k-pop boy group']"
Epik High,5snNHNlYT2UrtZo5HCJkiw,On My Way (Feat. Jackson Wang),5vaR767DFNrbwosqbdJRD0,44,739992,56,"['k-pop', 'k-rap', 'korean old school hip hop']"
Tech N9ne,6UBA15slIuadJ8h2lPRPos,Badge Of Honor,00zTOKDOuVKuwOe7lSBble,39,2744091,65,"['detroit hip hop', 'kansas city hip hop', 'pop rap']"
Majid Almohandis,2YquYFTCdzTnrcxZzzrNbj,جننت قلبي,6PnSITYfgUE5vTCLRy3Y8S,48,1000939,48,"['arab pop', 'khaleeji iraqi', 'khaliji']"
WOODZ,6y9nlaoynxSvoTGY09Vdcy,Deep Deep Sleep,3Lqqyxa50G38xD98547B1Z,45,763727,53,"['k-pop', 'korean r&b']"
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Melt Away,2cZtazNq0IRRFymK7UaRa0,55,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Burn It Down,1y8tPIOh9kR3eQE6TeBCwe,54,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Nightmare,3dmZOzXDFXEZXdjPqJJPKt,53,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,To. X,2gyCwrOcC6JBoaJ8JGJ7T8,59,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Fabulous,4vPyZrbv6WnOx4P91rbatz,52,2832752,64,['k-pop']
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Roses In My Backpack,0unmFukTNfCHAXM7jsYREn,42,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Huzur Is Kadar - Chill Trap,1wLlrxFStxz4QsplKr5q6t,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,A Few Notes For Orpheus,42gMHlHVsmcZyesCGDaY9u,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suzy,4U80LJd8sG6U9YTFP5izka,R.U.N,6ZRkGwxywPUmjPLglrfqlq,50,483545,51,['k-pop']
CRAVITY,6FkhUhUwSPl3mGB6mmE8wn,Cheese,4pJONzTRaCfshJdrN051lr,46,608315,47,['k-pop']
Loco,2e4G04F77jxVuDYo44TCSm,PIKPIK,7B79L66MsXNrJPaIlRu7hS,46,411344,58,"['k-pop', 'k-rap', 'korean r&b']"
SHINee,2hRQKC0gqlZGPrmUKbcchR,Sweet Misery,3n8FLiCA7kzqfWdRk450VJ,47,3110369,61,"['k-pop', 'k-pop boy group']"
SHINee,2hRQKC0gqlZGPrmUKbcchR,Like It,4LeToSXpuo4XGo6an5ecAq,48,3110369,61,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Patterns,6Pagqt0g3WyKIblKiRKSep,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
The Beths,7DjwIxbe8kpw4pqnzAMoin,Watching The Credits,65yCbkRvxWK69hV6ORTK7t,40,134656,47,"['auckland indie', 'bubblegrunge', 'indie rock', 'kiwi rock', 'modern power pop', 'nz indie']"
Aashish Yadav,6Q7zxRpatEpouz1e7dLbsG,Haradiya Re,5F1ZsRdeYHJyIv5oYoEwrV,47,30781,46,['khortha pop']
ODD EYE CIRCLE (ARTMS),10NiYZbV1kGr5cBygKTS5J,Did You Wait?,5wfZbLJ1tfLhsA3AYHrANx,44,123407,45,['k-pop girl group']
BIG Naughty,7cEaNXXTHx3LokbjUUyHal,Fxxxnds (Feat. Kim Min Seok of MeloMance),0S2GNnqAHC96zqB8ZIcxg4,49,342682,56,['k-pop ballad']
Whee In,0BqRGrwqndrtNkojXiqIzL,Bittersweet,0LuFJ3vQshqQUx0dTt8yYv,47,914347,52,"['k-pop', 'korean ost']"
STAYC,01XYiBYaoMJcNhPokrg0l0,Poppy (Korean Ver.),7KqISJoXbapng18bmmG0oa,46,1611711,61,"['k-pop', 'k-pop girl group']"
tripleS,5Z71xE9prhpHrqL5thVMyK,Oui,3LAtZiyrPu2QJFbipsDRWH,45,285350,54,['k-pop girl group']
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,ジュエリー (Prod. imase),27Ktms54Maeges2VYdsnec,49,3614292,76,['k-pop girl group']
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,24H,5jXlUt3NS0iu7pHYPqpK2O,50,10621758,78,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Identical Days,4hrptHq1WUVnUIsZpyt3YE,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Raja Pandharicha,6F8fI2NGLRvyJBH55RFIzR,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,"Om Hai Jeevan Humara (From ""Arya Satsang"")",0ssMLAnlkvdZLizNjIaBYN,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Nachu Gavu Vithu Nave,5AhfS3dXXmzxxpqmGpPkVA,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,"Shriman Narayan (Traditional Dhun) [From ""Shriman Narayan (Traditional Dhun)""]",5Ow8g1arXfSprP3MJDn4uJ,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
I.M,49tkHHS0mXwa5eLYvyvKyd,Habit,1RQqbSlookHZBgm5Cf3Sg4,46,364053,43,['k-pop']
Emarosa,68tKVjVvcqUfKFFLr2j0Ek,Woman,3rGAu4qRYLgF0hrxyLq7oe,40,273295,47,"['lexington ky indie', 'neon pop punk', 'pop emo', 'pop punk', 'progressive post-hardcore', 'screamo']"
Lyn,1A6WCseWiK22oxqodg7vcy,I'll Always Be With You,0qXAC2U4E9XjF0FeGRsMh7,53,260843,48,['korean pop']
Stray Kids,2dIgFjalVxs4ThymZ67YCE,CASE 143 -Japanese ver.-,24c1YnlFKxrAPINd69UlLd,52,13545818,82,"['k-pop', 'k-pop boy group', 'pop']"
OMEGA X,2FJYWlqgtoiBtXpOy9GGIF,Touch,3DcQsEslVSMW4qFDzFAd7l,44,213081,43,['k-pop']
Weeekly,73B9bjqS2Z5KLXNGqXf64m,ODYSSEY,7hf0gThVJS19J6ZOITDCDp,44,576825,51,['k-pop']
fromis_9,24nUVBIlCGi4twz4nYxJum,Bring It On,2a1qLwJOAc2uYTrcs0cLhQ,42,1180701,56,"['k-pop', 'k-pop girl group']"
Emarosa,68tKVjVvcqUfKFFLr2j0Ek,Cinnamon,1gRWoklE6IT3eVP7mSlFwd,39,273295,47,"['lexington ky indie', 'neon pop punk', 'pop emo', 'pop punk', 'progressive post-hardcore', 'screamo']"
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Beatbox - English Version,6q7sF4ctWUSf76T6VJ6Bu9,53,7391266,70,['k-pop boy group']
Whee In,0BqRGrwqndrtNkojXiqIzL,Here I Am,7I9PFafS70EQLp2WirTgFj,48,914347,52,"['k-pop', 'korean ost']"
HENRY,1sjw4xq2pAWy5Vdgba5QAt,Real Love Still Exists,0lJxsFybSunQWH4MQNIyCo,48,510642,53,['k-pop']
george,2pRZp2WxvnWWiSPcSSYkNV,ANYWHERE ANYTIME,67sYclP23NAkhQwYciJd16,47,111551,47,['korean city pop']
Xenia Manasseh,2J4IvVbi2h1wB2A0p5kd86,I Lay (feat. Xenia Manasseh),3OfnodXWoUyR7bgKckTe5p,46,24212,41,"['afro r&b', 'kenyan pop', 'kenyan r&b']"
MAMAMOO+,2uGx10VkBrI3GBvnQl81du,dangdang,4wp725MlpbUiyn1NcTMHJ6,48,122783,41,['k-pop girl group']
tripleS,5Z71xE9prhpHrqL5thVMyK,New Look,79mHno2xjCr4Br0KvRPcdb,46,285350,54,['k-pop girl group']
KEY,6XXKPxRX2WWPPtfodzpc2v,Intoxicating,58FJAeW57iNe6K34hcOAu8,45,634344,52,['k-pop']
Yll Limani,2qI59HaiEtvev8vnUkmRpT,Per kon je zbukuru,3dETUH3KaqOo8Hgyne8LkR,56,184963,54,"['albanian pop', 'kosovan pop']"
MONSTA X,4TnGh5PKbSjpYqpIdlW5nz,Deny,7Kg8zkls7jEP5H89mCG1vz,44,5233866,59,"['k-pop', 'k-pop boy group']"
Epik High,5snNHNlYT2UrtZo5HCJkiw,On My Way (Feat. Jackson Wang),5vaR767DFNrbwosqbdJRD0,44,739992,56,"['k-pop', 'k-rap', 'korean old school hip hop']"
Tech N9ne,6UBA15slIuadJ8h2lPRPos,Badge Of Honor,00zTOKDOuVKuwOe7lSBble,39,2744091,65,"['detroit hip hop', 'kansas city hip hop', 'pop rap']"
Majid Almohandis,2YquYFTCdzTnrcxZzzrNbj,جننت قلبي,6PnSITYfgUE5vTCLRy3Y8S,48,1000939,48,"['arab pop', 'khaleeji iraqi', 'khaliji']"
WOODZ,6y9nlaoynxSvoTGY09Vdcy,Deep Deep Sleep,3Lqqyxa50G38xD98547B1Z,45,763727,53,"['k-pop', 'korean r&b']"
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Melt Away,2cZtazNq0IRRFymK7UaRa0,55,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Burn It Down,1y8tPIOh9kR3eQE6TeBCwe,54,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Nightmare,3dmZOzXDFXEZXdjPqJJPKt,53,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,To. X,2gyCwrOcC6JBoaJ8JGJ7T8,59,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Fabulous,4vPyZrbv6WnOx4P91rbatz,52,2832752,64,['k-pop']
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Roses In My Backpack,0unmFukTNfCHAXM7jsYREn,42,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Huzur Is Kadar - Chill Trap,1wLlrxFStxz4QsplKr5q6t,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,A Few Notes For Orpheus,42gMHlHVsmcZyesCGDaY9u,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suzy,4U80LJd8sG6U9YTFP5izka,R.U.N,6ZRkGwxywPUmjPLglrfqlq,50,483545,51,['k-pop']
CRAVITY,6FkhUhUwSPl3mGB6mmE8wn,Cheese,4pJONzTRaCfshJdrN051lr,46,608315,47,['k-pop']
Loco,2e4G04F77jxVuDYo44TCSm,PIKPIK,7B79L66MsXNrJPaIlRu7hS,46,411344,58,"['k-pop', 'k-rap', 'korean r&b']"
SHINee,2hRQKC0gqlZGPrmUKbcchR,Sweet Misery,3n8FLiCA7kzqfWdRk450VJ,47,3110369,61,"['k-pop', 'k-pop boy group']"
SHINee,2hRQKC0gqlZGPrmUKbcchR,Like It,4LeToSXpuo4XGo6an5ecAq,48,3110369,61,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Patterns,6Pagqt0g3WyKIblKiRKSep,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
The Beths,7DjwIxbe8kpw4pqnzAMoin,Watching The Credits,65yCbkRvxWK69hV6ORTK7t,40,134656,47,"['auckland indie', 'bubblegrunge', 'indie rock', 'kiwi rock', 'modern power pop', 'nz indie']"
Aashish Yadav,6Q7zxRpatEpouz1e7dLbsG,Haradiya Re,5F1ZsRdeYHJyIv5oYoEwrV,47,30781,46,['khortha pop']
ODD EYE CIRCLE (ARTMS),10NiYZbV1kGr5cBygKTS5J,Did You Wait?,5wfZbLJ1tfLhsA3AYHrANx,44,123407,45,['k-pop girl group']
BIG Naughty,7cEaNXXTHx3LokbjUUyHal,Fxxxnds (Feat. Kim Min Seok of MeloMance),0S2GNnqAHC96zqB8ZIcxg4,49,342682,56,['k-pop ballad']
Whee In,0BqRGrwqndrtNkojXiqIzL,Bittersweet,0LuFJ3vQshqQUx0dTt8yYv,47,914347,52,"['k-pop', 'korean ost']"
STAYC,01XYiBYaoMJcNhPokrg0l0,Poppy (Korean Ver.),7KqISJoXbapng18bmmG0oa,46,1611711,61,"['k-pop', 'k-pop girl group']"
tripleS,5Z71xE9prhpHrqL5thVMyK,Oui,3LAtZiyrPu2QJFbipsDRWH,45,285350,54,['k-pop girl group']
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,ジュエリー (Prod. imase),27Ktms54Maeges2VYdsnec,49,3614292,76,['k-pop girl group']
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,24H,5jXlUt3NS0iu7pHYPqpK2O,50,10621758,78,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Identical Days,4hrptHq1WUVnUIsZpyt3YE,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Raja Pandharicha,6F8fI2NGLRvyJBH55RFIzR,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,"Om Hai Jeevan Humara (From ""Arya Satsang"")",0ssMLAnlkvdZLizNjIaBYN,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Nachu Gavu Vithu Nave,5AhfS3dXXmzxxpqmGpPkVA,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,"Shriman Narayan (Traditional Dhun) [From ""Shriman Narayan (Traditional Dhun)""]",5Ow8g1arXfSprP3MJDn4uJ,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
I.M,49tkHHS0mXwa5eLYvyvKyd,Habit,1RQqbSlookHZBgm5Cf3Sg4,46,364053,43,['k-pop']
Emarosa,68tKVjVvcqUfKFFLr2j0Ek,Woman,3rGAu4qRYLgF0hrxyLq7oe,40,273295,47,"['lexington ky indie', 'neon pop punk', 'pop emo', 'pop punk', 'progressive post-hardcore', 'screamo']"
Lyn,1A6WCseWiK22oxqodg7vcy,I'll Always Be With You,0qXAC2U4E9XjF0FeGRsMh7,53,260843,48,['korean pop']
Stray Kids,2dIgFjalVxs4ThymZ67YCE,CASE 143 -Japanese ver.-,24c1YnlFKxrAPINd69UlLd,52,13545818,82,"['k-pop', 'k-pop boy group', 'pop']"
OMEGA X,2FJYWlqgtoiBtXpOy9GGIF,Touch,3DcQsEslVSMW4qFDzFAd7l,44,213081,43,['k-pop']
Weeekly,73B9bjqS2Z5KLXNGqXf64m,ODYSSEY,7hf0gThVJS19J6ZOITDCDp,44,576825,51,['k-pop']
fromis_9,24nUVBIlCGi4twz4nYxJum,Bring It On,2a1qLwJOAc2uYTrcs0cLhQ,42,1180701,56,"['k-pop', 'k-pop girl group']"
Emarosa,68tKVjVvcqUfKFFLr2j0Ek,Cinnamon,1gRWoklE6IT3eVP7mSlFwd,39,273295,47,"['lexington ky indie', 'neon pop punk', 'pop emo', 'pop punk', 'progressive post-hardcore', 'screamo']"
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Beatbox - English Version,6q7sF4ctWUSf76T6VJ6Bu9,53,7391266,70,['k-pop boy group']
Whee In,0BqRGrwqndrtNkojXiqIzL,Here I Am,7I9PFafS70EQLp2WirTgFj,48,914347,52,"['k-pop', 'korean ost']"
HENRY,1sjw4xq2pAWy5Vdgba5QAt,Real Love Still Exists,0lJxsFybSunQWH4MQNIyCo,48,510642,53,['k-pop']
george,2pRZp2WxvnWWiSPcSSYkNV,ANYWHERE ANYTIME,67sYclP23NAkhQwYciJd16,47,111551,47,['korean city pop']
Xenia Manasseh,2J4IvVbi2h1wB2A0p5kd86,I Lay (feat. Xenia Manasseh),3OfnodXWoUyR7bgKckTe5p,46,24212,41,"['afro r&b', 'kenyan pop', 'kenyan r&b']"
MAMAMOO+,2uGx10VkBrI3GBvnQl81du,dangdang,4wp725MlpbUiyn1NcTMHJ6,48,122783,41,['k-pop girl group']
tripleS,5Z71xE9prhpHrqL5thVMyK,New Look,79mHno2xjCr4Br0KvRPcdb,46,285350,54,['k-pop girl group']
KEY,6XXKPxRX2WWPPtfodzpc2v,Intoxicating,58FJAeW57iNe6K34hcOAu8,45,634344,52,['k-pop']
Yll Limani,2qI59HaiEtvev8vnUkmRpT,Per kon je zbukuru,3dETUH3KaqOo8Hgyne8LkR,56,184963,54,"['albanian pop', 'kosovan pop']"
MONSTA X,4TnGh5PKbSjpYqpIdlW5nz,Deny,7Kg8zkls7jEP5H89mCG1vz,44,5233866,59,"['k-pop', 'k-pop boy group']"
Epik High,5snNHNlYT2UrtZo5HCJkiw,On My Way (Feat. Jackson Wang),5vaR767DFNrbwosqbdJRD0,44,739992,56,"['k-pop', 'k-rap', 'korean old school hip hop']"
Tech N9ne,6UBA15slIuadJ8h2lPRPos,Badge Of Honor,00zTOKDOuVKuwOe7lSBble,39,2744091,65,"['detroit hip hop', 'kansas city hip hop', 'pop rap']"
Majid Almohandis,2YquYFTCdzTnrcxZzzrNbj,جننت قلبي,6PnSITYfgUE5vTCLRy3Y8S,48,1000939,48,"['arab pop', 'khaleeji iraqi', 'khaliji']"
WOODZ,6y9nlaoynxSvoTGY09Vdcy,Deep Deep Sleep,3Lqqyxa50G38xD98547B1Z,45,763727,53,"['k-pop', 'korean r&b']"
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Melt Away,2cZtazNq0IRRFymK7UaRa0,55,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Burn It Down,1y8tPIOh9kR3eQE6TeBCwe,54,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Nightmare,3dmZOzXDFXEZXdjPqJJPKt,53,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,To. X,2gyCwrOcC6JBoaJ8JGJ7T8,59,2832752,64,['k-pop']
TAEYEON,3qNVuliS40BLgXGxhdBdqu,Fabulous,4vPyZrbv6WnOx4P91rbatz,52,2832752,64,['k-pop']
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Roses In My Backpack,0unmFukTNfCHAXM7jsYREn,42,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,Huzur Is Kadar - Chill Trap,1wLlrxFStxz4QsplKr5q6t,0,1494001,59,"['bhajan', 'classic bollywood', 'filmi', 'garhwali pop', 'hare krishna']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,A Few Notes For Orpheus,42gMHlHVsmcZyesCGDaY9u,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
Suzy,4U80LJd8sG6U9YTFP5izka,R.U.N,6ZRkGwxywPUmjPLglrfqlq,50,483545,51,['k-pop']
CRAVITY,6FkhUhUwSPl3mGB6mmE8wn,Cheese,4pJONzTRaCfshJdrN051lr,46,608315,47,['k-pop']
Loco,2e4G04F77jxVuDYo44TCSm,PIKPIK,7B79L66MsXNrJPaIlRu7hS,46,411344,58,"['k-pop', 'k-rap', 'korean r&b']"
SHINee,2hRQKC0gqlZGPrmUKbcchR,Sweet Misery,3n8FLiCA7kzqfWdRk450VJ,47,3110369,61,"['k-pop', 'k-pop boy group']"
SHINee,2hRQKC0gqlZGPrmUKbcchR,Like It,4LeToSXpuo4XGo6an5ecAq,48,3110369,61,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Patterns,6Pagqt0g3WyKIblKiRKSep,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
The Beths,7DjwIxbe8kpw4pqnzAMoin,Watching The Credits,65yCbkRvxWK69hV6ORTK7t,40,134656,47,"['auckland indie', 'bubblegrunge', 'indie rock', 'kiwi rock', 'modern power pop', 'nz indie']"
Aashish Yadav,6Q7zxRpatEpouz1e7dLbsG,Haradiya Re,5F1ZsRdeYHJyIv5oYoEwrV,47,30781,46,['khortha pop']
ODD EYE CIRCLE (ARTMS),10NiYZbV1kGr5cBygKTS5J,Did You Wait?,5wfZbLJ1tfLhsA3AYHrANx,44,123407,45,['k-pop girl group']
BIG Naughty,7cEaNXXTHx3LokbjUUyHal,Fxxxnds (Feat. Kim Min Seok of MeloMance),0S2GNnqAHC96zqB8ZIcxg4,49,342682,56,['k-pop ballad']
Whee In,0BqRGrwqndrtNkojXiqIzL,Bittersweet,0LuFJ3vQshqQUx0dTt8yYv,47,914347,52,"['k-pop', 'korean ost']"
STAYC,01XYiBYaoMJcNhPokrg0l0,Poppy (Korean Ver.),7KqISJoXbapng18bmmG0oa,46,1611711,61,"['k-pop', 'k-pop girl group']"
tripleS,5Z71xE9prhpHrqL5thVMyK,Oui,3LAtZiyrPu2QJFbipsDRWH,45,285350,54,['k-pop girl group']
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,ジュエリー (Prod. imase),27Ktms54Maeges2VYdsnec,49,3614292,76,['k-pop girl group']
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,24H,5jXlUt3NS0iu7pHYPqpK2O,50,10621758,78,"['k-pop', 'k-pop boy group']"
Youth Fountain,5e9SnnT1mabuWwjwu6FrZD,Identical Days,4hrptHq1WUVnUIsZpyt3YE,41,34045,45,"['anthem emo', 'canadian pop punk', 'easycore', 'kelowna bc indie', 'pop punk', 'vancouver punk']"
